OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1510	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	NA	NA	NA
OTU2126	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	NA	NA	NA
OTU1460	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU2748	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU376	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	NA
OTU89	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	Robillarda	Robillarda sessilis 
OTU1153	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
OTU631	Fungi	Basidiomycota	Microbotryomycetes	NA	Chrysozymaceae	Udeniozyma	NA
OTU582	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	Monocillium griseo-ochraceum 
OTU851	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	NA
OTU1543	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
OTU2221	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU500	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU623	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	NA	NA	NA
OTU1646	Fungi	NA	NA	NA	NA	NA	NA
OTU2573	Fungi	NA	NA	NA	NA	NA	NA
OTU611	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
OTU397	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
OTU250	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	Minimedusa	Minimedusa polyspora 
OTU1452	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU2642	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	Myrmecridium schulzeri 
OTU692	Fungi	Ascomycota	Sordariomycetes	NA	NA	Oncopodiella	NA
OTU149	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus scutula 
OTU1491	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
OTU908	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU786	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	Thelonectria rubi 
OTU1066	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	NA
OTU282	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
